State,ST,Capital,Longitude,Latitude
Alabama,AL,Montgomery,-86.300280684889,32.3778448300578
Alaska,AK,Juneau,-134.419720089079,58.3019435628538
Arizona,AZ,Phoenix,-112.097002114648,33.448056962118
Arkansas,AR,Little Rock,-92.2891966155731,34.74671389912
California,CA,Sacramento,-121.493173407028,38.5766379822497
Colorado,CO,Denver,-104.984882535635,39.7393011782883
Connecticut,CT,Hartford,-72.682265685282,41.7640478075494
Delaware,DE,Dover,-75.521440669349,39.1598182563424
Florida,FL,Tallahassee,-84.2814103124204,30.4379800379088
Georgia,GA,Atlanta,-84.3882728102467,33.7491105069311
Hawaii,HI,Honolulu,-157.857644685749,21.3071891251897
Idaho,ID,Boise,-116.200071549668,43.6173976205726
Illinois,IL,Springfield,-89.6838561293087,39.7992266437577
Indiana,IN,Indianapolis,-86.1619162318749,39.7682876590079
Iowa,IA,Des Moines,-93.6038299676467,41.591203450586
Kansas,KS,Topeka,-95.6781165783569,39.0481868390344
Kentucky,KY,Frankfort,-84.8752029177421,38.1868295579102
Louisiana,LA,Baton Rouge,-91.1873435440524,30.4561959742174
Maine,ME,Augusta,-69.7824740545278,44.3068311917176
Maryland,MD,Annapolis,-76.490730353326,38.9788809750953
Massachusetts,MA,Boston,-71.0635920009677,42.3585156598684
Michigan,MI,Lansing,-84.5554894724477,42.7337559214066
Minnesota,MN,St. Paul,-93.1023668129999,44.9544483754758
Mississippi,MS,Jackson,-90.1821570985857,32.3038596464079
Missouri,MO,Jefferson City,-92.1729471612446,38.5792342520804
Montana,MT,Helena,-112.017030200267,46.5844748792441
Nebraska,NE,Lincoln,-96.6997323196763,40.8080846893224
Nevada,NV,Carson City,-119.765996538968,39.1639658818133
New Hampshire,NH,Concord,-71.5360412913525,43.2077286653951
New Jersey,NJ,Trenton,-74.7701082395055,40.2205925416604
New Mexico,NM,Santa Fe,-105.939263846866,35.682385674315
New York,NY,Albany,-73.7584566763079,42.6531923942429
North Carolina,NC,Raleigh,-78.6390536727153,35.7808620976202
North Dakota,ND,Bismarck,-100.782425301832,46.8204800624107
Ohio,OH,Columbus,-83.000216483074,39.9611972655304
Oklahoma,OK,Oklahoma City,-97.5033086417702,35.4930913156566
Oregon,OR,Salem,-123.030608818409,44.9383658965847
Pennsylvania,PA,Harrisburg,-76.8841110484574,40.2651554758888
Rhode Island,RI,Providence,-71.4150694021695,41.8304368543275
South Carolina,SC,Columbia,-81.033361075349,34.0006222412432
South Dakota,SD,Pierre,-100.345546329203,44.3671499721808
Tennessee,TN,Nashville,-86.7844011981955,36.1658136639888
Texas,TX,Austin,-97.7403787162921,30.2746490151032
Utah,UT,Salt Lake City,-111.888143519988,40.7765189566751
Vermont,VT,Montpelier,-72.5804431413164,44.2619812631813
Virginia,VA,Richmond,-77.4334960632491,37.5387725441582
Washington,WA,Olympia,-122.904762637417,47.0362418589047
West Virginia,WV,Charleston,-81.6126542355569,38.3363786775331
Wisconsin,WI,Madison,-89.384196048713,43.0752429469311
Wyoming,WY,Cheyenne,-104.820410067003,41.1407764260928